network,loss_median,loss_full,accuracy_median,accuracy_full,ece_median,ece_full,nr_active_weights
0,25371.46484375,25210.634765625,46.79,47.91,0.022416226474940775,0.014677037583291551,1057
1,25147.28515625,25061.59765625,47.55,48.02,0.011981968566775313,0.011392826938629154,1079
2,25462.52734375,25291.4375,46.62,47.48,0.011060461686551577,0.007672574619203806,1090
3,25231.609375,25205.537109375,47.33,47.85,0.009062416113913063,0.010434153494238865,1067
4,25365.904296875,25253.017578125,47.1,47.7,0.012304305271804334,0.008853214198350898,1062
5,25164.33984375,25060.544921875,47.29,47.79,0.012835243277251713,0.011162781393527983,1003
6,25253.24609375,25139.328125,47.28,47.57,0.02375571170747281,0.012253644794225712,989
7,25222.185546875,25093.001953125,47.18,48.34,0.011441149429976935,0.0070230612948536985,925
8,25235.326171875,25110.72265625,47.58,48.07,0.009773973532021057,0.014470655426383032,1032
9,25227.40625,25172.671875,47.02,47.64,0.01649201098531484,0.01332495517134665,1061
