network,nll_median,nll_full,accuracy_median,accuracy_full,ece_median,ece_full,nr_active_weights
0,0.0723799616098404,0.08425414562225342,98.31,98.35,0.0036070535376668935,0.010512069332599619,1055
1,0.07020459324121475,0.07880779355764389,98.23,98.25,0.002200787951052249,0.007153332452476015,963
2,0.08341643959283829,0.09273384511470795,98.23,98.32,0.0056805486589670846,0.009149121099710543,897
3,0.0690455362200737,0.07932563126087189,98.38,98.32,0.0034958296105266,0.008882056888937997,901
4,0.07461157441139221,0.08429919183254242,98.17,98.2,0.002650321365892962,0.005812668572366238,1043
5,0.07426226139068604,0.08211022615432739,98.23,98.3,0.003925715747475648,0.009253981126844878,1061
6,0.07477620989084244,0.09112530201673508,98.17,98.22,0.0028681645661592526,0.012835541770979805,955
7,0.0630703866481781,0.07270768284797668,98.29,98.29,0.0029326907634735955,0.008742549130320578,1046
8,0.07559569180011749,0.08990783989429474,98.21,98.26,0.004907346460223184,0.012175299663841788,1030
9,0.06617001444101334,0.07712073624134064,98.36,98.41,0.003966657948494032,0.009103712208941519,998
