network,nll_median,nll_full,accuracy_median,accuracy_full,ece_median,ece_full,nr_active_weights
0,0.06635693460702896,0.07297472655773163,98.32,98.4,0.0019834017142653874,0.00734450063854449,508
1,0.07057186961174011,0.07622213661670685,98.28,98.39,0.004190071208775109,0.005024933744967013,504
2,0.06535932421684265,0.07007581740617752,98.39,98.44,0.002037636910378961,0.004929031424224387,430
3,0.07219626009464264,0.07582495361566544,98.09,98.22,0.0023984703421592603,0.005037404036521948,441
4,0.06260034441947937,0.06727553904056549,98.29,98.44,0.00299273345768458,0.0064147961884737014,429
5,0.06197101250290871,0.0670916885137558,98.45,98.54,0.0025611900508403338,0.006579207678139237,448
6,0.09287086129188538,0.0983177125453949,97.43,97.57,0.0028817565008998087,0.006362798630446182,1270
7,0.0627046674489975,0.06865961849689484,98.56,98.65,0.004266171470284494,0.00988756965026257,477
8,0.05811615288257599,0.064419224858284,98.65,98.68,0.004380375719070453,0.008050661088526227,425
9,0.07410693168640137,0.08383623510599136,98.11,98.09,0.002139215743541796,0.0059208892755210915,454
